id,hiragana,hinmoku,kubun,kubun2,note
2309,どあすとっぱー（ごむせい）,ドアストッパー（ゴム製）,燃やせるゴミ,可燃,
2310,どあすとっぱー（ぷらすちっくせい）,ドアストッパー（プラスチック製）,その他プラスチック,他プラ,
2311,どあのぶ,ドアノブ,金属,金属,
2312,どあふぉーん,ドアホン,金属,金属,電池は取り外して「危険ごみ」。
2313,とあみ,投網,金属,金属,
2314,といし,砥石,燃やせないごみ,不燃,
2315,といた（もくせい）,戸板（木製）,燃やせるゴミ,可燃,
2316,といた（ぷらすちっくせい）,戸板（プラスチック製）,その他プラスチック,他プラ,
2317,といれたんく,トイレタンク,燃やせないごみ,不燃,
2318,といれっとぺーぱー,トイレットペーパー,燃やせるゴミ,可燃,
2319,といれっとぺーぱーのこべつほうそうし（かみせい）,トイレットペーパーの個別包装紙（紙製）,燃やせるゴミ,可燃,
2320,といれっとぺーぱーのこべつほうそうし（びにーるせい）,トイレットペーパーの個別包装紙（ビニール製）,容器包装プラスチック,容プラ,
2321,といれっとぺーぱーのしん,トイレットペーパーの芯,燃やせるゴミ,可燃,
2322,といれっとぺーぱーのがいほうそう（びにーる）,トイレットペーパーの外包装（ビニール）,容器包装プラスチック,容プラ,
2323,といれっとぺーぱーほるだー（きんぞくせい）,トイレットペーパーホルダー（金属製）,金属,金属,
2324,といれっとぺーぱーほるだー（ぬのせい・もくせい）,トイレットペーパーホルダー（布製・木製）,燃やせるゴミ,可燃,
2325,といれっとぺーぱーほるだー（ぷらすちっくせい）,トイレットペーパーホルダー（プラスチック製）,その他プラスチック,他プラ,
2326,といれぶらし（きんぞくせい）,トイレブラシ（金属製）,金属,金属,
2327,といれぶらし（ぷらすちっくせい）,トイレブラシ（プラスチック製）,その他プラスチック,他プラ,
2328,といれまっと（じゅうたんいくじ）,トイレマット（じゅうたん生地）,燃やせるゴミ,可燃,
2329,といれまっと（ぷらすちっくせい）,トイレマット（プラスチック製）,その他プラスチック,他プラ,
2330,といれようおくがたせんじょうざいのようき（とうきせい）,トイレ用置き型洗浄剤の容器（陶器製）,燃やせないごみ,不燃,
2331,といれようおくがたせんじょうざいのようき（ぷらすちっくせい）,トイレ用置き型洗浄剤の容器（プラスチック製）,その他プラスチック,他プラ,
2332,とうき,陶器,燃やせないごみ,不燃,
2333,どうぎ,道着,燃やせるゴミ,可燃,
2334,とうきせいひん,陶器製品,燃やせないごみ,不燃,
2335,とうこうき,投光器,金属,金属,
2336,とうじき（ちゃわん・さらるい・おきものるい）,陶磁器（茶碗・皿類・置物類）,燃やせないごみ,不燃,
2337,とうしゃばん,謄写版,燃やせるゴミ,可燃,
2338,とうせいひん,籐製品,燃やせるゴミ,可燃,
2339,どうせいひん,銅製品,金属,金属,
2340,どうぶつのけ,動物の毛,燃やせるゴミ,可燃,
2341,とうせきばっぐ・ちゅーぶるい（ざいたくいりょうよう）,透析バッグ・チューブ類（在宅医療用）,燃やせるゴミ,可燃,在宅医療廃棄物は、透明又は半透明の袋に入れ、密封して「医」または「イ」と記載。
2342,とうふのぱっく,豆腐のパック,容器包装プラスチック,容プラ,
2343,とうゆ,灯油,処理困難物,処理困難物,販売店または専門の処理業者（ガソリンスタンド等）へ依頼。
2344,とうゆたんく,灯油タンク,その他プラスチック,他プラ,中身が残っている場合は、雑紙・雑布等にしみ込ませて「可燃」。
2345,とうゆぽんぷ・せきゆぽんぷ（でんちしき）,灯油ポンプ・石油ポンプ（電池式）,金属,金属,電池は取り外して「危険ごみ」。
2346,とうゆぽんぷ・せきゆぽんぷ（しゅどう）,灯油ポンプ・石油ポンプ（手動）,その他プラスチック,他プラ,
2347,とうろう（せきせい）,灯篭（石製）,燃やせないごみ,不燃,
2348,とうろう（もくせい）,灯篭（木製）,燃やせるゴミ,可燃,
2349,とーすたー,トースター,金属,金属,
2350,どーなつめーかー,ドーナツメーカー,金属,金属,
2351,どーるはうす,ドールハウス,燃やせるゴミ,可燃,
2352,どかん・ゆうじこう,土管・U字溝,燃やせないごみ,不燃,
2353,とぐささげ,砥ぎ棒,金属,金属,
2354,とぐるま,戸車,金属,金属,
2355,ときかず,時計,金属,金属,電池は取り外して「危険ごみ」。
2356,とだな,戸棚,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
2357,とやまぽーる・すてっき・つえ,登山ポール・ステッキ・杖,燃やせないごみ,不燃,
2358,とじひも,とじひも,燃やせるゴミ,可燃,
2359,とだな（きんぞくせい）,戸棚（金属製）,金属,金属,
2360,とだな（もくせい）,戸棚（木製）,燃やせるゴミ,可燃,
2361,とだな（ぷらすちっくせい）,戸棚（プラスチック製）,その他プラスチック,他プラ,
2362,とだなしきりいた（きんぞくせい）,戸棚仕切り板（金属製）,金属,金属,
2363,とだなしきりいた（もくせい）,戸棚仕切り板（木製）,燃やせるゴミ,可燃,
2364,とだなしきりいた（ぷらすちっくせい）,戸棚仕切り板（プラスチック製）,その他プラスチック,他プラ,
2365,とたんいた（もくせい）,トタン板（木製）,燃やせるゴミ,可燃,
2366,とたんいた（ぷらすちっくせい）,トタン板（プラスチック製）,燃やせないごみ,不燃,
2367,とたんいた（きんぞく）,トタン板（金属）,金属,金属,
2368,どっぐたぐ,ドッグタグ,金属,金属,
2369,のりとし,徳利,燃やせないごみ,不燃,
2370,とっぷぷれーと,トッププレート,金属,金属,
2371,となーかーとりっじ,トナーカートリッジ,その他プラスチック,他プラ,
2372,どのうふくろ（ふくろのみ）,土のう袋（袋のみ）,燃やせるゴミ,可燃,
2373,とのかばー,トノカバー,金属,金属,
2374,とびばこ（もくせい）,跳び箱（木製）,燃やせるゴミ,可燃,
2375,とびばこ（ぷらすちっくせい）,跳び箱（プラスチック製）,その他プラスチック,他プラ,
2376,どびん,土瓶,燃やせないごみ,不燃,
2377,どみの（もくせい）,ドミノ（木製）,燃やせるゴミ,可燃,
2378,どみの（ぷらすちっくせい）,ドミノ（プラスチック製）,その他プラスチック,他プラ,
2379,どらいばー,ドライバー,金属,金属,
2380,どらいふらわー,ドライフラワー,燃やせるゴミ,可燃,
2381,どらいぶれこーだー,ドライブレコーダー,金属（エコ）,金属（エコ）,
2382,どらいやー,ドライヤー,金属（エコ）,金属（エコ）,
2383,とらべるけーす,トラベルケース,燃やせるゴミ,可燃,
2384,どらむ（がっき）,ドラム（楽器）,金属,金属,
2385,どらむかん,ドラム缶,金属,金属,
2386,どらむすてぃっく・たいこばち,ドラムスティック・太鼓ばち,燃やせるゴミ,可燃,
2387,どらむゆにっと,ドラムユニット,金属,金属,
2388,どらむせっと,ドラムセット,金属,金属,
2389,とらんく,トランク,燃やせないごみ,不燃,
2390,とらんしーばー,トランシーバー,金属（エコ）,金属（エコ）,電池は取り外して「危険ごみ」。
2391,とらんぷ（ぷらすちっくせい）,トランプ（プラスチック製）,その他プラスチック,他プラ,
2392,とらんぷ（かみせい）,トランプ（紙製）,雑誌・雑紙,雑誌・雑紙,
2393,とらんぷけーす（ぷらすちっくせい）,トランプケース（プラスチック製）,その他プラスチック,他プラ,
2394,とらんぽりん,トランポリン,金属,金属,
2395,とりかえしきすぱいくしゅーずのぽいんと・びょう・ぴん,取換式スパイクシューズのポイント・鋲・ピン,金属,金属,
2396,とりかご（きんぞくせい）,鳥かご（金属製）,金属,金属,
2397,とりかご（もくせい）,鳥かご（木製）,燃やせるゴミ,可燃,
2398,とりかごすたんど,鳥かごスタンド,金属,金属,
2399,とりがら（こつ）,鶏がら（骨）,燃やせるゴミ,可燃,
2400,とりこっと（いくじ）,トリコット（生地）,燃やせるゴミ,可燃,
2401,どりっぱー(きんぞくせい),ドリッパー(金属製),金属,金属,
2402,どりっぱー(がらすせい),ドリッパー(ガラス製),燃やせないごみ,不燃,
2403,どりっぱー(ぷらすちっくせい),ドリッパー(プラスチック製),その他プラスチック,他プラ,
2404,どりっぱー(とうきせい),ドリッパー(陶器製),燃やせないごみ,不燃,
2405,とりょう（えきたいのじょうたい）,塗料（液体の状態）,処理困難物,処理困難物,"販売店または専門の処理業者へ依頼。
残塗料処理剤を使って固めるまたは、少量であれば紙等に染み込ませて乾燥させれば「可燃」。"
2406,とりょうのほとぎ,塗料の缶,金属,金属,
2407,とりょうのすぷれー,塗料のスプレー,危険,危険,
2408,とりょうのぼとる（ぷらすちっくせい）,塗料のボトル（プラスチック製）,その他プラスチック,他プラ,
2409,とりょうのぼとる（きんぞくせい）,塗料のボトル（金属製）,金属,金属,
2410,どりる（でんどう・しゅどう）・どりるのは,ドリル（電動・手動）・ドリルの刃,金属（エコ）,金属（エコ）,
2411,どりんくびん,ドリンクびん,びん,びん,中身は取り除く。
2412,とれい（ぶんぼうぐのとれーなどのせいひん）,トレイ（文房具のトレーなどの製品）,その他プラスチック,他プラ,
2413,とれい（そうざい・にく・ぎょなどのせいせんしょくりょうひんのうけざら）,トレイ（惣菜・肉・魚などの生鮮食料品の受皿）,容器包装プラスチック,容プラ,
2414,とれーしんぐぺーぱー,トレーシングペーパー,燃やせるゴミ,可燃,
2415,とれーにんぐぼーる,トレーニングボール,燃やせるゴミ,可燃,
2416,どれす,ドレス,衣類・布類,衣類・布類,
2417,どれっさー,ドレッサー,燃やせるゴミ,可燃,鏡部分は「不燃」。
2418,どれっしんぐのびん（のんおいる）,ドレッシングのびん（ノンオイル）,びん,びん,中身は取り除く。
2419,どれっしんぐのようき（ぷらまーくがつくてるもの）,ドレッシングの容器（プラマークがついてるもの）,容器包装プラスチック,容プラ,中身は取り除く。
2420,とれりす（こうしかき）きんぞくせい,トレリス（格子垣）金属製,金属,金属,
2421,とれりす（こうしかき）もくせい,トレリス（格子垣）木製,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
2422,どろ（にわそうじなどであつめるたもの）,泥（庭そうじなどで集めた物）,自己搬入,自己搬入,土のう2袋以内であればエコ・ステーション、3袋以上であれば津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック８ページ参照）。
2423,とろふぃー,トロフィー,金属,金属,
2424,とろふね（きんぞくせい）,トロ舟（金属製）,金属,金属,
2425,とろふね（ぷらすちっくせい）,トロ舟（プラスチック製）,その他プラスチック,他プラ,
2426,どろよけ（じてんしゃようひん）きんぞくせい,泥除け（自転車用品）金属製,金属,金属,
2427,どろよけ（じてんしゃようひん）ぷらすちっくせい,泥除け（自転車用品）プラスチック製,その他プラスチック,他プラ,
2428,とんぐ・ひばさみ（きんぞくせい）,トング・火ばさみ（金属製）,金属,金属,
2429,とんぐとう（ぷらすちっくせい）,トング等（プラスチック製）,その他プラスチック,他プラ,
2430,とんぐとう（もくせい）,トング等（木製）,燃やせるゴミ,可燃,
2431,どんぶり（とうきせい）,どんぶり（陶器製）,燃やせないごみ,不燃,
2432,どんぶり（ぷらすちっくせい）,どんぶり（プラスチック製）,その他プラスチック,他プラ,
2433,どんぶり（もくせい）,どんぶり（木製）,燃やせるゴミ,可燃,
2434,ないふ,ナイフ,金属,金属,刃部分を紙等で包み、「刃物」と表示して出す。
2435,ないふすたんど（きんぞくせい）,ナイフスタンド（金属製）,金属,金属,
2436,ないふすたんど（もくせい）,ナイフスタンド（木製）,燃やせるゴミ,可燃,
2437,ないふすたんど（ぷらすちっくせい）,ナイフスタンド（プラスチック製）,その他プラスチック,他プラ,
2438,ないろんせいひん,ナイロン製品,その他プラスチック,他プラ,
2439,ないろんたおる,ナイロンタオル,その他プラスチック,他プラ,
2440,ないろんひも,ナイロン紐,その他プラスチック,他プラ,
2441,なえぎのぷらすちっくせいぽっと,苗木のプラスチック製ポット,その他プラスチック,他プラ,なるべく土を取り除く。
2442,ちょうか,長靴,燃やせるゴミ,可燃,
2443,ながしそうめんたくみ,流しそうめん機,金属,金属,電池は取り外して「危険ごみ」。
2444,ながしだい,流し台,金属,金属,自身で交換した物に限る。
2445,ながしだいしーと,流し台シート,その他プラスチック,他プラ,
2446,ながづくえ・ちょういす,長机・長椅子,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
2447,なぎなた（れぷりか）,薙刀（レプリカ）,金属,金属,
2448,だた,なた,金属,金属,
2449,かかけふとん,夏がけ布団,燃やせるゴミ,可燃,
2450,なせんし,捺染紙,燃やせるゴミ,可燃,
2451,なっと,ナット,金属,金属,
2452,なっとうのようき（ぷらすちっくせい）,納豆の容器（プラスチック製）,容器包装プラスチック,容プラ,中身は取り除く。
2453,なっぷさっく,ナップサック,燃やせるゴミ,可燃,
2454,なふだけーす,名札ケース,その他プラスチック,他プラ,
2455,なべ（きんぞくせい）,鍋（金属製）,金属,金属,
2456,なべ（いものせい・とうきせい）,鍋（鋳物製・陶器製）,燃やせないごみ,不燃,
2457,なべ（がらすせい）,鍋（ガラス製）,燃やせないごみ,不燃,
2458,なべしき（きんぞくせい）,鍋敷き（金属製）,金属,金属,
2459,なべしき（ぬのせい・もくせい・しりこんせい）,鍋敷き（布製・木製・シリコン製）,燃やせるゴミ,可燃,
2460,なべたて（きんぞくせい）,鍋立て（金属製）,金属,金属,
2461,なべたて（もくせい）,鍋立て（木製）,燃やせるゴミ,可燃,
2462,なべたて（ぷらすちっくせい）,鍋立て（プラスチック製）,その他プラスチック,他プラ,
2463,なべつかみ,鍋つかみ,燃やせるゴミ,可燃,
2464,なべのとりで（もくせい）,鍋の取手（木製）,燃やせるゴミ,可燃,
2465,なべのとりで（じゅしせい・ぷらすちっくせい）,鍋の取手（樹脂製・プラスチック製）,その他プラスチック,他プラ,
2466,なべのふた（きんぞくせい）,鍋のフタ（金属製）,金属,金属,
2467,なべのふた（がらすせい）,鍋のフタ（ガラス製）,燃やせないごみ,不燃,
2468,なまくりーむぱっく,生クリームパック,燃やせるゴミ,可燃,
2469,なまごみ,生ごみ,燃やせるゴミ,可燃,なるべく水分を切ってだす。
2470,なまごみしょりき,生ごみ処理機,金属,金属,
2471,なみいた（きんぞくせい）,波板（金属製）,金属,金属,
2472,なみいた（ぷらすちっくせい）,波板（プラスチック製）,燃やせないごみ,不燃,ガラス繊維が使用されていない場合は「他プラ」。
2473,いくはな,生花,燃やせるゴミ,可燃,
2474,なわとびひも(ぷらすちっくせい),縄跳び紐(プラスチック製),燃やせるゴミ,可燃,
2475,なわはしご,縄はしご,燃やせるゴミ,可燃,
2476,なんばーぷれーと,ナンバープレート,処理困難物,処理困難物,
2477,なんばりんぐすたんぷ,ナンバリングスタンプ,金属,金属,
2478,にかどでんち,ニカド電池,危険,危険,
2479,にくたたき,肉たたき,金属,金属,
2480,にっきちょう,日記帳,燃やせるゴミ,可燃,
2481,にっぷれす,ニップレス,燃やせるゴミ,可燃,
2482,にづくりひも（ぬのせい）,荷造り紐（布製）,燃やせるゴミ,可燃,
2483,にづくりひも（びにーるせい）,荷造り紐（ビニール製）,その他プラスチック,他プラ,
2484,にほんとう（れぷりか）,日本刀（レプリカ）,金属,金属,
2485,にゅうさんきんいんりょうのようき・ふた（ぷらすちっくせい）,乳酸菌飲料の容器・ふた（プラスチック製）,容器包装プラスチック,容プラ,
2486,にゅうさんきんいんりょうのようきのふた（あるみせい）,乳酸菌飲料の容器のふた（アルミ製）,燃やせるゴミ,可燃,
2487,ちちようじようえぷろん（ぷらすちっくせい）,乳幼児用エプロン（プラスチック製）,その他プラスチック,他プラ,
2488,ちちようじようえぷろん（ごむせい）,乳幼児用エプロン（ゴム製）,燃やせるゴミ,可燃,
2489,にゅうよくざいのほとぎ,入浴剤の缶,金属,金属,
2490,にゅうよくざいのようき（ぷらすちっくせい）,入浴剤の容器（プラスチック製）,容器包装プラスチック,容プラ,
2491,にゅうよくざいのようき（かみせい）,入浴剤の容器（紙製）,燃やせるゴミ,可燃,
2492,にゅうよくざいのようき（かん）,入浴剤の容器（缶）,金属,金属,
2493,にょう（はいせつぶつ）,尿（排泄物）,処理困難物,処理困難物,
2494,にょうとるぱっど,尿取りパッド,燃やせるゴミ,可燃,
2495,にわいし,庭石,自己搬入,自己搬入,土のう2袋以内であればエコ・ステーション、3袋以上であれば津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック８ページ参照）。
2496,にわくさ,庭草,燃やせるゴミ,可燃,
2497,ひとかた,人形,燃やせるゴミ,可燃,
2498,にんぎょうけーす,人形ケース,その他プラスチック,他プラ,
2499,にんしんけんさやく,妊娠検査薬,燃やせるゴミ,可燃,
2500,ぬいぐるみ・あみぐるみ,ぬいぐるみ・あみぐるみ,燃やせるゴミ,可燃,
2501,ぬいいと,縫い糸,燃やせるゴミ,可燃,
2502,ぬか,ぬか,燃やせるゴミ,可燃,
2503,ぬくがた（ぷらすちっくせい）,抜き型（プラスチック製）,その他プラスチック,他プラ,
2504,ぬのおむつ,布おむつ,燃やせるゴミ,可燃,
2505,ぬのきれ,布きれ,燃やせるゴミ,可燃,
2506,ぬのせいのはこ,布製の箱,燃やせるゴミ,可燃,
2507,ぬののひも,布の紐,燃やせるゴミ,可燃,
2508,ぬりえ,塗り絵,燃やせるゴミ,可燃,
2509,ぬれるたかみ,濡れた紙,燃やせるゴミ,可燃,
2510,こん,根,燃やせるゴミ,可燃,
2511,ねいる（つけづめ）,ネイル（つけ爪）,その他プラスチック,他プラ,
2512,ねいるにっぱー,ネイルニッパー,金属,金属,
2513,ねーむたぐ,ネームタグ,その他プラスチック,他プラ,
2514,ねーむぷれーと（きんぞくせい）,ネームプレート（金属製）,金属,金属,
2515,ねーむぷれーと（とうきせい）,ネームプレート（陶器製）,燃やせないごみ,不燃,
2516,ねくたい,ネクタイ,衣類・布類,衣類・布類,
2517,ねくたいかけ（きんぞくせい）,ネクタイかけ（金属製）,金属,金属,
2518,ねくたいかけ（もくせい）,ネクタイかけ（木製）,燃やせるゴミ,可燃,
2519,ねくたいかけ（ぷらすちっくせい）,ネクタイかけ（プラスチック製）,その他プラスチック,他プラ,
2520,ねくたいぴん,ネクタイピン,金属,金属,
2521,ねこずな（しりかげるけい・せいぶんかいさがぶっしつけい）,猫砂（シリカゲル系・生分解性物質系）,燃やせるゴミ,可燃,
2522,ねこずな（こうぶつけい：べんないと・ぜおらいと）,猫砂（鉱物系：ベンナイト・ゼオライト）,燃やせないごみ,不燃,糞は乾燥させ、袋に入れて「可燃」。
2523,ねこのつめとぎ,猫の爪とぎ,燃やせるゴミ,可燃,
2524,ねこよけしーと,猫よけシート,その他プラスチック,他プラ,
2525,ねっくれす,ネックレス,金属,金属,
2526,ねっと（ないろんせい）,ネット（ナイロン製）,その他プラスチック,他プラ,
2527,ねっとぱねる,ネットパネル,金属,金属,
2528,ねっとるい（のな・くだものるい）,ネット類（野菜・果物類）,容器包装プラスチック,容プラ,
2529,ねこじゃらし,猫じゃらし,燃やせるゴミ,可燃,
2530,ねじるい,ネジ類,金属,金属,空き缶等の小さな金属容器に入れて出す。
2531,ねすとてーぶる,ネストテーブル,燃やせるゴミ,可燃,金属が含まれている場合は「金属」。
2532,ねずみとり,ネズミ取り,金属,金属,
2533,ねっくうぉーまー,ネックウォーマー,燃やせるゴミ,可燃,
2534,ねぶくろ（しゅらふ）・ねぶくろようまっと,寝袋（シュラフ）・寝袋用マット,燃やせるゴミ,可燃,
2535,ねふだ,値札,燃やせるゴミ,可燃,
2536,ねぶらいざー（きゅうにゅうき）,ネブライザー（吸入器）,金属,金属,
2537,ねまき,寝間着,衣類・布類,衣類・布類,
2538,ねりこうすいのようき（ぷらすちっくせい）,練り香水の容器（プラスチック製）,容器包装プラスチック,容プラ,
2539,ねんちゃくしーと,粘着シート,燃やせるゴミ,可燃,
2540,ねんちゃくてーぷ,粘着テープ,燃やせるゴミ,可燃,
2541,ねんちゃくぱっど,粘着パッド,燃やせるゴミ,可燃,
2542,ねんちゃくふぃるむ,粘着フィルム,燃やせるゴミ,可燃,
2543,ねんちゃくろーらー（ほんたいぶぶん）,粘着ローラー（本体部分）,その他プラスチック,他プラ,柄の部分が金属製であれば「金属」。
2544,ねんどばん,粘土板,その他プラスチック,他プラ,
2545,ねんど,粘土,燃やせないごみ,不燃,紙粘土は「可燃」。
2546,ねんりょう（がそりん）,燃料（ガソリン）,処理困難物,処理困難物,販売店または専門の処理業者（ガソリンスタンド等）へ依頼。
2547,のうきぐ,農機具,処理困難物,処理困難物,家庭で使用していた物のみ、津市リサイクルセンターへ自己搬入。
2548,のうやく,農薬,処理困難物,処理困難物,販売店または専門の処理業者へ依頼。
2549,のーと,ノート,雑誌・雑紙,雑誌・雑紙,ひもで十文字に束ねる。
2550,のーとぱそこん,ノートパソコン,エコ,エコ,"メーカーに回収を依頼。
エコ・ステーションもしくは、各窓口へ持ち込み（ごみ分別ガイドブック２８ページ参照）。"
2551,のぎす,ノギス,金属,金属,
2552,のこぎり,のこぎり,金属,金属,
2553,のしぶくろ,のし袋,燃やせるゴミ,可燃,
2554,のしぶくろのかざり,のし袋の飾り,金属,金属,
2555,のどすぷれー,のどスプレー,容器包装プラスチック,容プラ,
2556,のみ,ノミ,金属,金属,
2557,のりのほとぎ,のりの缶,金属,金属,
2558,のりのつくだにのびん,のりの佃煮のびん,びん,びん,中身は取り除く。
2559,のりのつくだにのびんのふた（きんぞくせい）,のりの佃煮のびんのふた（金属製）,金属,金属,
2560,のりのようき（こうさくよう）,のりの容器（工作用）,容器包装プラスチック,容プラ,
2561,のれん（ぬのせい）,のれん（布製）,燃やせるゴミ,可燃,
2562,のれん（もくせい）,のれん（木製）,燃やせるゴミ,可燃,
2563,ぱーくごるふのくらぶ,パークゴルフのクラブ,金属,金属,
2564,ばーこーどりーだー,バーコードリーダー,金属,金属,
2565,ぱーてーしょん（もくせい）,パーテーション（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
2566,ぱーてーしょん（ぬのせい）,パーテーション（布製）,燃やせるゴミ,可燃,
2567,ぱーてーしょん（ぷらすちっくせい）,パーテーション（プラスチック製）,その他プラスチック,他プラ,
2568,はーどでぃすくどらいぶ,ハードディスクドライブ,金属（エコ）,金属（エコ）,
2569,ばーどりんぐ（ぬのせい）,バードリング（布製）,燃やせるゴミ,可燃,
2570,ばーどりんぐ（ぷらすちっくせい）,バードリング（プラスチック製）,その他プラスチック,他プラ,
2571,ばーなーきゃっぷ（きんぞくせい）,バーナーキャップ（金属製）,金属,金属,
2572,はーねす,ハーネス,金属,金属,
2573,ばーべきゅーこんろ,バーベキューコンロ,金属,金属,
2574,ばーべきゅーもう,バーベキュー網,金属,金属,
2575,ばーべきゅーぐりる,バーベキューグリル,金属,金属,
2576,ばーべきゅーてーぶる（もくせい）,バーベキューテーブル（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
2577,ばーべきゅーてーぶる（ぷらすちっくせい）,バーベキューテーブル（プラスチック製）,その他プラスチック,他プラ,
2578,ばーべる（ばーとおもりがいったい）,バーベル（バーと重りが一体）,金属,金属,
2579,ばーべるのおもりのみ,バーベルの重りのみ,金属,金属,
2580,はーばりうむ,ハーバリウム,燃やせないごみ,不燃,
2581,はーぶ,ハーブ,燃やせるゴミ,可燃,
2582,はーもにか,ハーモニカ,金属,金属,
2583,ばーる,バール,金属,金属,
2584,はい,灰,燃やせるゴミ,可燃,水で湿らせる。
2585,はい、もえかす,灰、燃えカス,燃やせるゴミ,可燃,水で湿らせる。
2586,ばいく（げんどうきつきじてんしゃふくむ）,バイク（原動機付自転車含む）,処理困難物,処理困難物,
2587,はいにょうばっぐ,排尿バッグ,燃やせるゴミ,可燃,
2588,ぱいぷはんがー,パイプハンガー,金属,金属,
2589,はいゆ（しょくようあぶらとう）,廃油（食用油等）,燃やせるゴミ,可燃,凝固剤で固めるか雑紙等に染みこませる。
2590,はいゆ（とうゆ・がそりんとう）,廃油（灯油・ガソリン等）,処理困難物,処理困難物,販売店または専門の処理業者（ガソリンスタンド等）へ依頼。
2591,はいゆ（えんじんおいる）,廃油（エンジンオイル）,処理困難物,処理困難物,少量であれば雑紙等に染み込ませて「可燃」。
2592,はいゆしょりぼっくす,廃油処理ボックス,自己搬入,自己搬入,西部クリーンセンター又はクリーンセンターおおたかへ自己搬入。
2593,ばいくかばー,バイクカバー,その他プラスチック,他プラ,
2594,ばいくぼっくす,バイクボックス,その他プラスチック,他プラ,
2595,はいざら（きんぞくせい）,灰皿（金属製）,金属,金属,
2596,はいざら（がらすせい・とうきせい）,灰皿（ガラス製・陶器製）,燃やせないごみ,不燃,
2597,はいすいこうのふた（きんぞくせい）,排水溝のふた（金属製）,金属,金属,
2598,はいすいこうのふた（ぷらすちっくせい）,排水溝のふた（プラスチック製）,その他プラスチック,他プラ,
2599,はいすいとらっぷ（きんぞくせい）,排水トラップ（金属製）,金属,金属,
2600,はいすいとらっぷ（ぷらすちっくせい）,排水トラップ（プラスチック製）,その他プラスチック,他プラ,
2601,はいどろかるちゃーようせらみっくぼーる,ハイドロカルチャー用セラミックボール,燃やせないごみ,不燃,
2602,ぱいぷ（きんぞくせい）,パイプ（金属製）,金属,金属,
2603,ぱいぷ（じゅしせい）,パイプ（樹脂製）,その他プラスチック,他プラ,
2604,ぱいぷ（たばこ）,パイプ（たばこ）,燃やせるゴミ,可燃,
2605,ぱいぷそうじようぶらし,パイプ掃除用ブラシ,金属,金属,
2606,ぱいぷつぎて（きんぞくせい）,パイプ継手（金属製）,金属,金属,
2607,ぱいぷつぎて（ぷらすちっくせい）,パイプ継手（プラスチック製）,その他プラスチック,他プラ,
2608,ぱいぷふーど（ぷらすちっくせい）,パイプフード（プラスチック製）,その他プラスチック,他プラ,
2609,ぱいぷふーど（きんぞくせい）,パイプフード（金属製）,金属,金属,
2610,ぱいぷべっど,パイプベッド,金属,金属,
2611,ぱいぽ,パイポ,その他プラスチック,他プラ,
2612,はいらんけんさき,排卵検査器,その他プラスチック,他プラ,
2613,はいろーちぇあ,ハイローチェアー,金属,金属,
2614,ぱいろっとらんぷ,パイロットランプ,金属,金属,
2615,ばいんだー（かみせい）,バインダー（紙製）,燃やせるゴミ,可燃,金属が含まれている場合は「金属」。
2616,ばいんだー（ぷらすちっくせい）,バインダー（プラスチック製）,その他プラスチック,他プラ,金具が含まれている場合は「金属」。
2617,ぱうち,パウチ,その他プラスチック,他プラ,
2618,ばうんさー（ぷらすちっくせい）,バウンサー（プラスチック製）,その他プラスチック,他プラ,
2619,ばうんさー（きんぞくぶひんあり）,バウンサー（金属部品あり）,金属,金属,
2620,はえたたき,ハエたたき,その他プラスチック,他プラ,
2621,はかいし,墓石,燃やせないごみ,不燃,
2622,はがき,はがき,雑誌・雑紙,雑誌・雑紙,個人情報が記載されている物は「可燃」でも排出することができる。
2623,はがきけーす,はがきケース,その他プラスチック,他プラ,
2624,はかる（だいどころばかり・あなろぐ）,はかり（台所ばかり・アナログ）,金属,金属,
2625,はかる（だいどころばかり・でじたる）,はかり（台所ばかり・デジタル）,金属,金属,電池は取り外して「危険ごみ」。
2626,ばぎーぼーど,バギーボード,その他プラスチック,他プラ,
2627,はくせい,はく製,燃やせるゴミ,可燃,
2628,ばぐ（きんぞくせい）,馬具（金属製）,金属,金属,
2629,ばぐ（もくせい・かわせい）,馬具（木製・革製）,燃やせるゴミ,可燃,
2630,はくねつでんきゅう,白熱電球,燃やせないごみ,不燃,
2631,ばくちく,爆竹,燃やせるゴミ,可燃,水で湿らし、発火しないようにして出す。
2632,はくりし,はくり紙,燃やせるゴミ,可燃,
2633,はぐるま（きんぞくせい）,歯車（金属製）,金属,金属,
2634,はけ（とそうようなど）,ハケ（塗装用など）,その他プラスチック,他プラ,
2635,ばけつ(ぷらすちっくせい),バケツ(プラスチック製),その他プラスチック,他プラ,
